ID,Area,City,Restaurant,Demand,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,Delivery Status
294492,Tangra,Kolkata,Itc Royal Bengal - Gourmet Couch,Low,1000,4.4,20,"Asian,Pan-Asian,Korean,Italian,Pizzas,Continental,Pastas,North Indian,Mughlai,Biryani,Grill,Seafood,Kebabs,Desserts",Banquet Gate Itc Sonar,87,Delayed
294499,Vasanth Nagar,Bangalore,Itc Windsor - Gourmet Couch,Low,2500,4.5,20,"North Indian,Mughlai,Biryani,Grill,Seafood,Kebabs,Desserts",Malleshwaram,55,Delayed
294617,Usmanpura,Ahmedabad,Earthen Oven,Low,1000,2.9,80,North Indian,Fortune Landmark Ahmedabad,54,Delayed
294627,Saidabad,Hyderabad,Klip2Deal Homefood,Low,200,2.9,80,Indian,Santoshnagar & Saidabad,50,Delayed
294775,Ghatkopar West,Mumbai,Shiv Krupa,Low,300,2.9,80,North Indian,Ghatkopar Vikhroli,48,Delayed
295104,Baguihati,Kolkata,Cheesy Blast,Low,250,2.9,80,"Fast Food,Indian,Mughlai,Pizzas",Kestopur Khal,76,Delayed
295187,Kothrud,Pune,Swara Juice Bar,Low,200,4.3,20,Juices,Kothrud,58,Delayed
295283,Central Markt Punjabi Bagh,Delhi,Mirza,High,250,4,500,"North Indian,Chinese,Biryani,Snacks,Chaat,Beverages",Punjabi Bagh,68,Delayed
295326,Nungambakkam,Chennai,Vel Chettinadu Hotel,Low,200,4.2,100,Indian,Nungambakkam,47,Delayed
295399,Teynampet,Chennai,Welcomhotel Chennai - Flavours,Low,1000,2.9,80,"Indian,Continental",Catherdal Road,68,Delayed
295537,Jayanagar,Bangalore,4Th Tea Block,Low,100,4.6,50,"Beverages,Snacks",Jayanagar,47,Delayed
295595,Jodhpur Park,Kolkata,Hondo'S,Low,450,4.3,100,American  Chinese  Continental  Desserts,South Kolkata,80,Delayed
296011,Burrabazar,Kolkata,Calcutta Cravings,Low,300,4.3,50,Bengali  Italian  Chinese  Combo  Snacks  Kebabs  Indian,Burrabazar,43,In Time
296022,Chembur,Mumbai,One By Two,Low,100,4.2,100,Chinese,Chembur,44,In Time
296084,Himayatnagar,Hyderabad,Haiking Chinese Restaurant,High,1000,4.3,500,Chinese,Himayath Nagar,35,In Time
296177,Sangamvadi,Pune,Kapila Kathi Kebab,Low,250,4.4,100,Fast Food,Koregaon Park,35,In Time
296289,Shivajinagar,Pune,Spice Kitchen  Jw Marriott Pune,Low,1000,4.3,20,"Indian,Continental",Senapati Bapat Road,56,Delayed
296304,Kodihalli,Bangalore,Bengali Khabar,Low,250,3.7,100,Bengali,Indiranagar,69,Delayed
296634,Paikpara,Kolkata,Deli Bread,Low,250,4.3,100,"Chinese,Biryani,North Indian",Dumdum,63,Delayed
296658,Santacruz East,Mumbai,Big Bowl Company,Low,300,4.1,100,"North Indian,Chinese,Biryani,Fast Food",Kurla,33,In Time
296737,Indiranagar,Bangalore,Bohemians,Low,1200,2.9,80,"Indian,Italian,Chinese,American",Indiranagar,63,Delayed
296855,Central Bangalore,Bangalore,Thalaivars Biryani,Low,200,4.3,100,"Biryani,Indian",Central Bangalore,40,In Time
296877,Taltala,Kolkata,Jackie'S Kitchen,Low,350,2.9,80,"Chinese,Tibetan",Esplanade,51,Delayed
297287,Aundh,Pune,Sagar  Ratan,Low,300,2.9,80,Indian,Aundh,69,Delayed
297288,Aundh,Pune,Saffroni,Low,300,2.9,80,North Indian,Aundh,69,Delayed
297332,Sherkotda,Ahmedabad,K3 Food Corner,Low,200,2.9,80,"Indian,Chinese",Sherkotda Road,37,In Time
297373,Seshadripuram,Bangalore,Mantap Ice Cream,Low,200,4.7,20,Ice Cream,Sheshadripuram,44,In Time
297374,Srirampura,Bangalore,Annapurna,Low,150,2.9,80,"North Indian,Tandoor,Chinese",1St Stage Okalipuram,60,Delayed
