ID,Area,City,Restaurant,Demand,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,Delivery Status
211,Koramangala,Bangalore,Tandoor Hut,Low,300,4.4,100,"Biryani,Chinese,North Indian,South Indian",5Th Block,59,Delayed
221,Koramangala,Bangalore,Tunday Kababi,Low,300,4.1,100,"Mughlai,Lucknowi",5Th Block,56,Delayed
246,Jogupalya,Bangalore,Kim Lee,Low,650,4.4,100,Chinese,Double Road,50,Delayed
248,Indiranagar,Bangalore,New Punjabi Hotel,High,250,3.9,500,"North Indian,Punjabi,Tandoor,Chinese",80 Feet Road,57,Delayed
249,Indiranagar,Bangalore,Nh8,Low,350,4,50,"Rajasthani,Gujarati,North Indian,Snacks,Desserts,Beverages,Thalis,Chaat",80 Feet Road,63,Delayed
254,Indiranagar,Bangalore,Treat,Low,800,4.5,100,"Mughlai,North Indian",100 Feet Road,56,Delayed
258,Indiranagar,Bangalore,Chinita Real Mexican Food,High,1000,4.5,500,"Mexican,Beverages,Salads",Double Road,53,Delayed
263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,Low,150,4.3,100,"Desserts,British,Bakery,Pizzas,Snacks",4Th Block,57,Delayed
267,Domlur,Bangalore,Tea Brew,Low,350,4.1,100,"American,Italian,Beverages,Continental,Chinese,Pastas,Pizzas,Fast Food",Double Road,57,Delayed
308,Koramangala,Bangalore,Bangaliana,High,300,4,500,Bengali,7Th Block,57,Delayed
435,Koramangala,Bangalore,Bamey'S Restro Cafe,Low,400,4.4,100,"Chinese,Thai,Nepalese",5Th Block,56,Delayed
446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,High,250,4.3,500,"North Indian,Chinese",Cooke Town,55,Delayed
453,Pulikeshi Nagar,Bangalore,Chichabas Taj,Low,532,4.2,100,"Mughlai,North Indian,Biryani",Mm Road,54,Delayed
464,Sivanchetti Gardens,Bangalore,Urban Solace,Low,500,2.9,80,"American,Continental",Ulsoor Lake,48,Delayed
504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,Low,150,4.3,100,"Fast Food,Beverages,Bengali,Biryani,Indian,North Indian,Snacks,Street Food",Domlur Layout,59,Delayed
604,Koramangala,Bangalore,Aalishan Restaurant & Caterer,Low,290,4.3,100,"Mughlai,North Indian",7Th Block,52,Delayed
608,Domlur,Bangalore,Kerala Pavilion,Low,300,4.1,100,"Kerala,Seafood",Domlur Layout,55,Delayed
621,Indiranagar,Bangalore,Kitchen Of Joy,Low,250,4.4,100,"Bengali,Fast Food,Chinese",Domlur,55,Delayed
1050,Jayanagar,Bangalore,Nagarjuna Chimney,High,800,4.2,1000,"Seafood,Andhra,Biryani,South Indian,Combo,Desserts,Beverages",3Rd Block,48,Delayed
1299,Film Nagar,Hyderabad,So. The Sky Kitchen,Low,800,2.9,80,"Mughlai,North Indian,Chinese,Thai,Asian",Near Apollo Health City Gate,90,Delayed
1304,Indiranagar,Bangalore,Esplanade,Low,1200,4.3,100,"Mughlai,Bengali",I Indirangar,54,Delayed
1457,Banashankari,Bangalore,Hotel New Karavali,Low,250,3.8,100,"North Indian,Chinese,South Indian",Bsk 1St Stage,53,Delayed
1547,Masab Tank,Hyderabad,Dine Hill,High,400,4.1,500,"Arabian,Biryani,North Indian,Chinese",Ahmed Nagar,49,Delayed
1590,Banjara Hills,Hyderabad,Sarvi Restaurant,High,400,4.1,5000,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Road 11,56,Delayed
1593,Banjara Hills,Hyderabad,Sarvi Bakery,Low,250,4.1,100,"Desserts,Fast Food,Bakery",Opposite Care Hospital Road 11 Banjara Hills,58,Delayed
1609,Andheri East,Mumbai,Kung Fu Panda,Low,600,4.3,100,Chinese  Thai  Asian,Marol,58,Delayed
1617,Powai,Mumbai,Kosho,Low,300,4.2,100,"Mughlai,North Indian,Chinese,Seafood,Italian",Chandivali,56,Delayed
1844,Punjagutta,Hyderabad,Chinese Pavilion,High,850,4.3,500,"Chinese,Seafood",Nagarjuna Circle,64,Delayed
1848,Banjara Hills,Hyderabad,Chef Inam'S Steak House,Low,1200,4.2,100,"Steakhouse,American",Sri Ram Nagar Colony Banjara Hills,69,Delayed
1874,Indiranagar,Bangalore,Mamagoto,Low,900,4.2,100,"Chinese,Asian,Pan-Asian,Thai,Oriental",Mamagoto,59,Delayed
1884,Powai,Mumbai,Hakka Express,Low,300,4,100,"Chinese,Asian,Thai",Narayan Plaza,48,Delayed
2008,Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,High,200,4.3,500,"British,Italian,Indian,Chinese,South Indian,North Indian,Desserts",1St Stage,57,Delayed
2042,Aundh,Pune,Juice Destination,High,200,4.2,500,"Thalis,North Indian,Punjabi,Beverages",Iti Road Aundh,60,Delayed
2047,Aundh,Pune,Hyderabadi Spice,High,400,4.2,1000,"Biryani,Mughlai,North Indian,Chinese",Parihar Chowk,58,Delayed
2102,Aundh,Pune,Cafe Peterdonuts,Low,400,4.1,50,"Continental,Desserts",Gaikwad Nagar,71,Delayed
2250,Baner,Pune,Karolbaug,Low,750,4.1,50,"Mughlai,North Indian,Chinese,Biryani",Sakal Nagar,72,Delayed
2312,Powai Area,Mumbai,The Punjabi'S Kitchen,High,500,4.4,500,North Indian,Guru Hargobindji Marg  Andheri East,65,Delayed
2344,Ramgopalpet,Hyderabad,Aangan - Yatri Nivas,Low,500,4.1,100,North Indian  South Indian,S P Road,66,Delayed
2348,Kalasiguda,Hyderabad,Bluefox,High,800,4.2,1000,Biryani  North Indian  Chinese  Tandoor,Sd Road,68,Delayed
2516,Aundh,Pune,Taaareef,Low,1100,4.4,100,"Mughlai,North Indian,Seafood,Biryani",Iti Road,67,Delayed
2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,High,300,4.2,1000,North Indian  Chinese  Desserts  Continental  South Indian,Sd Road,57,Delayed
2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,High,600,4.2,500,"Ice Cream,Beverages,Desserts,Chaat,Italian",New Mla Quarters,37,In Time
2777,Adarsh Nagar,Hyderabad,Ohri'S Ming'S Court,High,500,4,1000,Chinese,New Mla Quarters,39,In Time
2795,Himayatnagar,Hyderabad,Minerva Coffee Shop,High,500,4.3,1000,"South Indian,North Indian,Chinese",Himayath Nagar Road,30,In Time
2796,Himayatnagar,Hyderabad,Bluefox,High,800,4.1,1000,"Biryani,North Indian,Chinese,Tandoor",Himayath Nagar Road,36,In Time
2811,Ashok Nagar,Bangalore,Art Of Delight,Low,250,4.6,100,"Ice Cream,Desserts,Beverages",Residency Road,34,In Time
2820,Commercial Street,Bangalore,Khan Saheb Grills And Rolls,Low,300,4.3,50,"Tandoor,Mughlai,North Indian,Kebabs",Kamaraj Road,39,In Time
2824,Richmond Town,Bangalore,Fanoos,High,300,4.2,500,"Biryani,Tandoor,Kebabs,Barbecue,Fast Food",Hosur Road,33,In Time
2827,Richmond Town,Bangalore,In Wok,Low,500,4.3,100,Chinese,Richmond,44,In Time
2832,Ashok Nagar,Bangalore,Lakeview Milkbar,Low,450,4.1,100,"Desserts,Ice Cream,Bakery,Fast Food",Mg Road,31,In Time
2839,Ashok Nagar,Bangalore,C Sharp Kitchen,Low,300,2.9,80,"Chinese,Continental,Fast Food",Church Street,33,In Time
2840,Ashok Nagar,Bangalore,Roomali,Low,1000,4.4,100,"North Indian,Indian",Church Street,35,In Time
2843,Ashok Nagar,Bangalore,Tadka Singh,Low,300,4.2,100,"Punjabi,North Indian",Church Street,38,In Time
2914,Ashok Nagar,Bangalore,Bheemas,Low,550,4.3,100,Andhra,Church Street,31,In Time
2915,Vasanth Nagar,Bangalore,Watson'S,Low,450,2.9,80,Fast Food,1St Main Road,53,Delayed
2964,Andheri East,Mumbai,Sai Leela,Low,500,4.2,20,"Mughlai,North Indian,Chinese,Seafood",Andheri East,63,Delayed
3007,Bhowanipore,Kolkata,Tandoori Darbar,Low,500,4.4,100,"North Indian,Chinese,Tandoor,Biryani,Beverages,Desserts",Hazra Road,71,Delayed
3010,Ballygunge,Kolkata,Ballygunge Dhaba,High,500,4.3,500,"North Indian,Biryani,Chinese",Ballygunge,59,Delayed
3018,Gariahat,Kolkata,Tero Parbon,Low,500,4.3,100,Bengali,Purna Das Road Hindustan Park,72,Delayed
3020,Ballygunge,Kolkata,Wise Owl The Coffee Shop,Low,700,4.3,100,"Continental,American,Cafe",Purnadas Road,76,Delayed
3022,Gariahat,Kolkata,Aminia Restaurant- Golpark,High,500,4.3,1000,"Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor",Ballygunge Gardens,67,Delayed
3025,Gariahat,Kolkata,Bedouin - Sher E Bengal,Low,500,2.9,80,"North Indian,Chinese,Bengali",Gariahat Road Gariahat,70,Delayed
3031,Ballygunge,Kolkata,Sharma Dhaba,High,300,4.2,1000,North Indian  Fast Food  Tandoor  Biryani  Kebabs  Snacks  Chinese,Ballygunge Circular Road  Ballygunge Maidan Camp  Ballygunge,54,Delayed
3063,Indiranagar,Bangalore,Kund Indian Barbeque,Low,200,4.2,100,"Mughlai,North Indian,Biryani,Kebabs,Desserts",1St Stage,58,Delayed
3071,Bhowanipore,Kolkata,Jai Hind Dhaba,High,500,4.3,1000,"North Indian,Indian,Tandoor,Kebabs,Punjabi,Home Food,Chinese",Sarat Bose Road Paddapukur,60,Delayed
3074,Kalighat,Kolkata,Tamarind,Low,1100,4.4,100,"North Indian,South Indian",Sarat Bose Road Desapriya Park,73,Delayed
3207,Pulikeshi Nagar,Bangalore,Pathaan Sir,Low,300,4.2,100,Fast Food,Coles Road,47,Delayed
3265,Indiranagar,Bangalore,Chaipatty,Low,200,3.9,50,"Fast Food,Beverages,Pizzas,Street Food,Snacks",Hanumanthanagar,56,Delayed
3279,Powai Area,Mumbai,5 Spice,High,1100,4.2,500,"Chinese,Desserts",Powai Area,53,Delayed
3324,Punjagutta,Hyderabad,Srikanya,High,250,4.1,1000,"Andhra,Seafood",Punjagutta Road,56,Delayed
3326,Sion,Mumbai,Cafe Vrindavan,Low,500,4.3,100,"North Indian,Chinese,South Indian",Sion Station,42,In Time
3329,Mumbai,Mumbai,Ramdeo,High,450,4,500,"North Indian,Chinese,South Indian,Fast Food",Sion Station,44,In Time
3331,Mumbai,Mumbai,Shabari,Low,400,3.9,100,"North Indian,South Indian,Fast Food",Sion West,48,Delayed
3332,Rajajinagar,Bangalore,The Purple Pan,High,400,4.1,1000,"Mughlai,North Indian,Chinese,Arabian",Dr. Rajkumar Road,56,Delayed
3350,Pulikeshi Nagar,Bangalore,Moriz Nano,Low,500,2.9,80,"North Indian,Chinese,Biryani,Seafood",Lakeview,50,Delayed
3369,Ashok Nagar,Bangalore,Truffles,High,450,4.5,1000,"American,Desserts,Continental,Italian",St. Marks Road,29,In Time
3439,Golpark,Kolkata,The Grub Club,High,400,4.3,1000,"Italian,Chinese,Thai",Golpark,69,Delayed
3454,Koramangala,Bangalore,Lazeez,High,500,4.2,500,"North Indian,Mughlai",5Th Block,55,Delayed
3531,Shivajinagar,Pune,Marrakesh,Low,300,4,100,"Lebanese,North Indian,Afghani,Mughlai,Combo,Biryani,Kebabs,Mediterranean,Arabian,Middle Eastern,Desserts",Fc Road,46,Delayed
3549,Banjara Hills,Hyderabad,Keshav Reddy Sweets,High,150,4.2,500,"Sweets,Bakery,Desserts,Fast Food,Street Food,Chaat",Road No 2,65,Delayed
3813,Gariahat,Kolkata,Kimli,Low,600,4.4,100,"Chinese,Seafood",Purnadas Road,69,Delayed
3830,Koregaon Park,Pune,Prem'S,Low,1200,4.2,100,"North Indian,Chinese,Continental,Asian,Desserts,Beverages",Koregaon Park,53,Delayed
3835,Deccan Gymkhana,Pune,The Chocolate Room,Low,450,2.9,80,"Desserts,Continental,Fast Food",Fc Road,39,In Time
3855,Koregaon Park,Pune,Uncle'S Chinese,High,350,4.1,1000,"Chinese,Thai,Malaysian",Koregaon Park,55,Delayed
3889,Jayanagar,Bangalore,House Of Kebab'S,Low,500,3.7,50,"North Indian,Chinese,Biryani",Rv Road,51,Delayed
3914,Karkhana,Hyderabad,Oh So Stoned,Low,300,3.9,100,Ice Cream  Desserts,Vikrampuri Colony,68,Delayed
4051,Kothrud,Pune,Zest Cafe Bar,Low,250,4.2,20,"Chinese,Fast Food",Ideal Chambers  Kothrud,57,Delayed
4064,Koregaon Park,Pune,Seven - Shawarma And Burgers,Low,250,3.9,100,"Lebanese,Fast Food,Snacks,Arabian",Koregaon Park,51,Delayed
4086,Kothrud,Pune,Rushhrs,Low,250,4.3,100,"Salads,Healthy Food",Karishma Housing Society,46,Delayed
4087,Erandwane,Pune,Aroma'S Hyderabad House - Karve Road,High,400,4.2,500,"Biryani,Mughlai,North Indian,Chinese",Karve Road,35,In Time
4138,Koti,Hyderabad,Grand Hotel,High,300,4.1,10000,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",Abids Road,24,In Time
4188,Dilsukhnagar,Hyderabad,Tipsy Topsy,High,250,3.7,500,Chinese  Italian  Desserts  Bakery  Fast Food,Dilsukhnagar Main Road,39,In Time
4248,Nagole,Hyderabad,Hotel Swagath Grand - Dhanturi Group Of Hotels,High,300,3.9,1000,"Biryani,Chinese,South Indian,North Indian,Tandoor",Alkapuri X Roads,67,Delayed
4252,Chandrapuri Colony,Hyderabad,Hotel Sitara Grand - Dhanturi Group Of Hotels,High,300,3.8,1000,"Biryani,Chinese,South Indian,North Indian,Tandoor",L B Nagar,70,Delayed
4256,Kothapet,Hyderabad,Nakshatra Inn Multi Cuisine Restaurant,Low,300,3.8,100,"Biryani,Chinese,North Indian,South Indian",Lakshmi Nagar Colony,52,Delayed
4320,Narayanguda,Hyderabad,Mehfil,High,300,3.9,10000,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",Narayanguda,25,In Time
4338,Fc Road,Pune,The Burger Barn Cafe,Low,300,4.1,100,"American,Fast Food",Ghole Road,46,Delayed
4429,Park Street Area,Kolkata,Sip & Sandwich,Low,300,2.9,80,Pastas  Beverages  Fast Food,Park Street,60,Delayed
4430,Beniapukur,Kolkata,Shiraz Golden Restaurant,High,500,4.4,1000,"Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor",Park Street,52,Delayed
4484,Park Street Area,Kolkata,Mocambo,High,1500,4.4,1000,"North Indian,Biryani,Continental,Italian",Park Street,62,Delayed
4558,Bidhannagar,Kolkata,The Scoop,Low,400,4.1,100,"North Indian,Chinese,South Indian,Fast Food",Sector 1,70,Delayed
4565,Bidhannagar,Kolkata,Kaafila,Low,1600,3.9,50,"Mughlai,North Indian",Sector 1,71,Delayed
4587,Bidhannagar,Kolkata,Ranjan'S,Low,200,4.2,100,"North Indian,Chinese",Sector 3,56,Delayed
4599,Bidhannagar,Kolkata,Balle Balle Dhaba,High,500,4.1,1000,"North Indian,Punjabi,Biryani",Sector 1,59,Delayed
4600,Bidhannagar,Kolkata,Le Coffee Creme,Low,600,3.9,50,"Combo,Chinese,Continental,Italian,Fast Food,Mexican",Sector 1,68,Delayed
4614,Himayatnagar,Hyderabad,Crystal Restaurant,High,350,3.9,1000,"Biryani,North Indian,Chinese",Rtc X Roads,34,In Time
4650,New Nallakunta,Hyderabad,Bawarchi,High,300,3.9,10000,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Rtc X Roads,27,In Time
4739,Sivanchetti Gardens,Bangalore,The Grill House - Steaks & Sizzlers,Low,1100,4.2,100,"American,Steakhouse,Italian,Mexican,Continental,Mediterranean,Desserts,Grill,Salads,Pastas,Pizzas,Lebanese",Kensington Point,52,Delayed
4774,Adikmet,Hyderabad,Us Pizza,Low,200,3.2,20,"Italian,Pizzas,Fast Food,Beverages,Desserts",O.U Road,48,Delayed
4776,Amberpet,Hyderabad,Surabhi Grand,High,300,4,500,"Mughlai,North Indian,Chinese,Seafood",Tilaknagar,45,Delayed
4781,Himayatnagar,Hyderabad,Bluedragon By Mandilicious,Low,300,4.2,20,Chinese,Himayathnagar,34,In Time
4783,Adikmet,Hyderabad,Frosty Den,Low,200,2.2,20,"Ice Cream,Pizzas,Fast Food,Beverages,Desserts",O.U Road,43,In Time
4810,Banjara Hills,Hyderabad,Sitara Grand - Nizami Pakwaan,Low,300,3.6,100,"Biryani,Chinese,South Indian,North Indian,Tandoor",Road No 12,62,Delayed
4841,Karve Nagar,Pune,Cheesiano Pizza,Low,500,3.9,100,"Italian,Pizzas,Fast Food",Karvenagar,52,Delayed
4853,Domlur,Bangalore,Venus Biryani,High,200,4.1,500,Biryani,3Rd Cross,49,Delayed
4956,Andheri East,Mumbai,Rj Spice,Low,450,4.1,20,Chinese  Thai  Fast Food,Jb Nagar  Andheri East,55,Delayed
5107,Agarkar Nagar,Pune,Blue Nile,High,1000,4.2,1000,"Biryani,Mughlai,Tandoor,Chinese,Desserts,Ice Cream,Beverages",Bund Garden Road,31,In Time
5119,Koregaon Park,Pune,Arthur'S Theme,Low,800,4.3,100,"Italian,European",Lane No 6 Opp Cosmos Bank Kp,56,Delayed
5120,Mundhwa,Pune,Carnival Restaurant & Bar,Low,1000,4.2,100,"North Indian,Chinese,Seafood,Continental",Mundhwa Road Kp,64,Delayed
5139,Shivajinagar,Pune,Smokin' Joe'S,Low,400,4,50,"American,Fast Food",Jm Road,35,In Time
5150,Mohammed Wadi,Pune,Chai - The Way You Like It,Low,250,4,50,Fast Food,Salunkhe Vihar Road,73,Delayed
5157,Shivajinagar,Pune,Mainland China,Low,850,4.4,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Pyramid Mall,53,Delayed
5172,Bandra Area,Mumbai,Theobroma,High,800,4.7,500,"Desserts,Bakery,Beverages",Bandra Area,40,In Time
5208,Paschim Vihar,Delhi,Deli 63,Low,400,2.9,80,"Street Food,Fast Food",Punjabi Bagh,60,Delayed
5221,Malleshwaram,Bangalore,Food Paradise,Low,326,3.9,100,"Mughlai,North Indian,Chinese,Fast Food",Malleshwaram,53,Delayed
5247,Ashok Nagar,Bangalore,Corner House Ice Cream,High,250,4.7,1000,"Ice Cream,Desserts",Residency Road,31,In Time
5251,Kalighat,Kolkata,Bachan'S Dhaba,High,250,4.3,5000,"North Indian,Chinese",Near Kalighat Metro Rash Behari Avenue,61,Delayed
5255,Ballygunge,Kolkata,Mainland China,Low,850,4.5,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Ballygunge,64,Delayed
5285,Lakdikapul,Hyderabad,Chicha'S,High,200,3.8,500,"Biryani,Hyderabadi,Indian,Street Food",P & T Officers Colony,40,In Time
5297,Deccan Gymkhana,Pune,Le Plaisir,High,1000,4.5,500,"Italian,Continental,European,Desserts",Prabhat Road Deccan,40,In Time
5370,Deccan Gymkhana,Pune,Cafe Goodluck,Low,200,4.4,100,"North Indian,Fast Food,Biryani,Cafe,Snacks,Beverages,Bakery",Shivajinagar,35,In Time
5408,Camp,Pune,George Restaurant,High,600,4.3,1000,"North Indian,Chinese,Biryani,Mughlai,Parsi,Fast Food",East Street,33,In Time
5496,Camp,Pune,Marzorin,High,200,4.4,1000,"Fast Food,Bakery,Beverages,Snacks,Desserts",Mg Road,33,In Time
5504,Antop Hill,Mumbai,Monica Chinese Fast Food,Low,350,3.9,50,Chinese,Antop Hill,57,Delayed
5538,Kothapet,Hyderabad,Kinara Grand,High,750,3.9,1000,"North Indian,Chinese,Biryani",Ashta Laxmi Temple,58,Delayed
5549,New Tippasandra,Bangalore,Dal Roti Sabji,Low,150,4.5,100,North Indian,80Ft Road,54,Delayed
5573,Ashok Nagar,Bangalore,Mainland China,Low,850,4.3,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Church Street,40,In Time
5582,Vasanth Nagar,Bangalore,Shezan,Low,600,4.3,100,"North Indian,Chinese,Continental,Mughlai",Cunnigham Road,44,In Time
5596,Vasanth Nagar,Bangalore,Dolci Desserts,Low,600,4.5,50,"Desserts,Pastas",Cunnigham Road,40,In Time
5624,Deccan Gymkhana,Pune,Subway,Low,350,4.4,100,"Fast Food,Healthy Food,Salads,Snacks,Desserts,Beverages",Fc Road,35,In Time
5691,Bandra Area,Mumbai,Smoke House Deli,Low,600,4.4,100,"European,Italian,American,Pastas,Salads,Juices,Desserts,Combo",Bandra Area,48,Delayed
5743,Bhawani Peth,Pune,Madinah,High,200,4,500,"Mughlai,North Indian,Chinese,Biryani",Poona College,34,In Time
5802,Bidhannagar,Kolkata,First Innings - The Stadel Hotel,Low,800,4.5,20,"North Indian,Chinese,Continental",Sector 3,69,Delayed
5862,Basheer Bagh,Hyderabad,Meghacity,High,500,4.4,1000,"North Indian,Chinese",Basheerbagh X Road,32,In Time
5878,Kalyani Nagar,Pune,Salad Grills,Low,300,4.3,100,"Healthy Food,Salads,Fast Food,Continental,North Indian,Chinese",Hermes Parai,63,Delayed
5882,Ashok Nagar,Bangalore,Oh! Calcutta,Low,800,4.3,100,Bengali,Church Street,36,In Time
5893,Shankarapura,Bangalore,Polar Bear,Low,300,4.5,100,"Desserts,Fast Food",Vv Puram,38,In Time
5908,Vasanth Nagar,Bangalore,Miller'S 46,Low,1100,4.4,100,"Steakhouse,American,Continental",Cunnigham Road,47,Delayed
5916,Sivanchetti Gardens,Bangalore,Carnival De Goa,Low,500,4.1,100,"Goan,Mangalorean,Kerala,South Indian,Seafood,Coastal,Continental",Kensington Point,48,Delayed
5989,Elgin,Kolkata,The Rouge,Low,400,4.4,50,Desserts  Bakery,Near Bishop'S College  Kolkata,51,Delayed
5994,Bidhannagar,Kolkata,The Darjeeling,Low,500,4,100,"Chinese,Nepalese,Tibetan",Near City Centre 1,73,Delayed
6075,Paschim Vihar,Delhi,London Grill Co,High,500,4,1000,"American,Healthy Food,Fast Food,Continental,Salads,Beverages,Desserts",Paschim Vihar,50,Delayed
6328,Mumbai,Mumbai,Mughal Fusions,Low,300,3.9,100,"Mughlai,North Indian,Chinese,Seafood",Lbs Marg,38,In Time
6329,Kurla West,Mumbai,Mughal Darbaar,High,300,3.7,500,"Mughlai,North Indian,Chinese,Seafood",Lbs Marg,40,In Time
6332,Saki Naka,Mumbai,Naaz Hotel,High,750,4.1,500,"Mughlai,North Indian,Chinese",Kurla West,39,In Time
6345,Teynampet,Chennai,Amaravathi,Low,650,4.2,100,"Indian,Chinese,Andhra,Tandoor",Cathedral Road,53,Delayed
6358,Nandanam,Chennai,Eatalica,Low,500,4.5,100,"Italian,American",Ra Puram,69,Delayed
6493,Rajajinagar,Bangalore,Kudla Beach,Low,400,3.9,20,"North Indian,Chinese,Seafood,South Indian",Dr. Rajkumar Road,59,Delayed
6518,Langford Gardens,Bangalore,Rolls Kitchen,High,200,4.4,500,Fast Food,Shanthi Nagar,35,In Time
6577,Punjagutta,Hyderabad,Zyqa Restaurant,High,200,4,500,"North Indian,Biryani,Chinese",Punjagutta,55,Delayed
6585,Himayatnagar,Hyderabad,Sahara Bakers,High,200,3.8,500,"Bakery,Pizzas",Chikadpally,34,In Time
6663,Kurla West,Mumbai,Mughal Dhaba,Low,500,4,20,"Mughlai,North Indian,Chinese",Lbs Marg Kurla West,36,In Time
6723,Deccan Gymkhana,Pune,Spring Onion,Low,500,4.3,100,"Chinese,Thai,Pan-Asian,Seafood",Bhandarkar Road,39,In Time
6745,Koti,Hyderabad,Tibbs Frankie,Low,150,4.3,100,Snacks,Hanuman Tekdi Road,29,In Time
6775,Kalighat,Kolkata,Petuk,Low,350,4,20,"Mughlai,Chinese,Fast Food",Near Sujata Sadan Theater Hazra,70,Delayed
6850,Malleshwaram,Bangalore,Shanthi Sagar Grand,Low,200,4,100,"North Indian,South Indian,Fast Food",Sampige Road,57,Delayed
6851,Abids,Hyderabad,Agrawala Sweets,Low,250,4.3,100,"Sweets,Fast Food",Jn Road,27,In Time
6917,Powai,Mumbai,Eagle Boys Pizza,Low,600,3.7,100,Pizzas  Fast Food,Chandivali,56,Delayed
6924,Richmond Town,Bangalore,Freshmenu,High,250,4.1,1000,"Chinese,Continental,Italian,Mediterranean,Thai,Lebanese,American,Asian,Beverages,Bakery,Biryani,Desserts,Mexican,North Indian,Salads,Pizzas",Aga Abdullah Street,38,In Time
7002,Himayatnagar,Hyderabad,Angaara,Low,250,3.9,100,"Indian,Chinese,Tandoor",Street 4,33,In Time
7029,Santacruz East,Mumbai,Golden Wave Restaurant,Low,1000,2.9,80,"North Indian,Chinese,Continental",Santacruz East,56,Delayed
7199,Bidhannagar,Kolkata,Afraa Deli-Sector 1,Low,700,4.3,50,"Continental,Fast Food,Italian,Beverages",Sector 1,67,Delayed
7204,Bidhannagar,Kolkata, Conclave At Afraa,Low,850,3.9,50,"Italian,Indian,Continental",Salt Lake City Centre,75,Delayed
7341,Ashok Nagar,Bangalore,Shiro,Low,1400,4.4,100,"Japanese,Asian",Vittal Mallya Road,44,In Time
7412,Khairtabad,Hyderabad,Paradise Biryani,Low,400,3.9,100,Biryani  North Indian  Chinese,Imax Road,48,Delayed
7415,Aundh,Pune,Delhi Kitchen,Low,300,4,100,"Tandoor,North Indian,Biryani,Beverages,Desserts",Dp Road,69,Delayed
7626,Vishnu Garden,Delhi,Sethi Restaurant,High,300,4,1000,North Indian,Pacific Mall,63,Delayed
7674,Beleghata,Kolkata,Mama Mia! - Italian Ice Creams,Low,200,4.7,100,Ice Cream Cakes  Desserts  Bakery  Sweets  Beverages,Beleghata,34,In Time
7689,Lake Town,Kolkata,Buddha Bites-Jessore Road,High,300,3.7,1000,"Chinese,Asian,Fast Food,Snacks,Tibetan",Jessore Road,74,Delayed
7776,Gopalapuram,Chennai,The Kati Roll Shop,High,250,4.3,1000,Street Food,Cathedral Road,52,Delayed
7784,Powai Area,Mumbai,Asia Kitchen By Mainland China,Low,850,4.3,100,"Asian,Chinese,Oriental",Powai Area,55,Delayed
7826,Alwarpet,Chennai,Benjarong,Low,1500,4.6,100,Thai,Ttk Road,68,Delayed
7828,Mylapore,Chennai,Kaaraikudi,Low,500,3.6,100,Chettinad,Dr Radhakrishnan Salai,57,Delayed
7859,Central Markt Punjabi Bagh,Delhi,Wok In The Clouds,Low,1500,4.5,50,"North Indian,Chinese,Thai,Continental",Punjabi Bagh,72,Delayed
7898,Golpark,Kolkata,Crossroad Crystal - Golpark,Low,350,4.1,50,"Indian,Chinese,Bengali",Golpark,71,Delayed
7940,Andheri East,Mumbai,99 East,Low,300,2.9,80,North Indian  Chinese  Seafood,Andheri East,57,Delayed
8009,Pashan,Pune,Saffron Multicuisine,Low,400,4.5,20,"Mughlai,North Indian,Chinese,Seafood,Tandoor",Orange County Baner Pashan Link Road,68,Delayed
8040,South Kolkata,Kolkata,Second House,Low,500,2.9,80,"North Indian,Chinese,Kebabs,Biryani,Mughlai",Southern Avenue,84,Delayed
8046,Gariahat,Kolkata,Santa'S Fantasea,Low,1200,4.3,100,"Tribal,Seafood,Chinese",Ballygunge Terrace Near Anjali Jewellers Golpark,80,Delayed
8093,Punjagutta,Hyderabad,Akson Restaurant,High,250,4.3,1000,"North Indian,Biryani,Kerala",Panjagutta Road,53,Delayed
8139,Kotturpuram,Chennai,Ciclo Cafe,High,1100,4.4,1000,"Continental,Italian,Italian-American",Alwarpet,71,Delayed
8175,Paschim Vihar,Delhi,Chawla Kitchen,High,500,3.8,500,"Chinese,Mughlai,Indian,Snacks,Popular Brand Store,Fast Food",Punjabi Bagh,48,Delayed
8205,Habsiguda,Hyderabad,Taste Of India,Low,600,4.2,20,"North Indian,Chinese,Continental",Habsiguda Main Road,67,Delayed
8213,Uppal,Hyderabad,Crunchy'S,Low,150,3.8,20,"Italian,American",Uppal Ring Road,72,Delayed
8241,Indiranagar,Bangalore,Paris Panini - French Street Food,High,450,4.4,1000,"French,Street Food",Hal 3Rd Stage,57,Delayed
